,latitude,longitude,price,water,wc,grey_water
429,47.40849,10.28578,Paying,yes,yes,yes
430,39.3564,-9.15703,Paying,yes,no,unknown
431,49.19718,9.51126,Paying,yes,yes,unknown
432,42.48027,-1.64719,Free,yes,no,yes
433,43.18371,-0.60846,Free,yes,no,yes
434,47.49189,7.39047,Free,yes,unknown,yes
435,36.94139,-5.25306,Paying,yes,no,yes
436,45.93565,1.02518,Free,yes,yes,unknown
437,43.17861,-1.48806,Free,yes,no,yes
438,45.79726,8.41193,Free,yes,yes,yes
439,43.56083,-6.73389,Free,yes,no,yes
440,59.91824,10.6759,Paying,yes,yes,no
441,43.56505,-7.64381,Free,yes,no,unknown
442,43.38283,-5.82377,Free,yes,no,yes
443,48.7825,-3.04694,Free,yes,no,unknown
444,42.38278,-7.57146,Free,yes,yes,unknown
445,38.649,0.06661,Paying,yes,yes,yes
446,44.58931,10.53539,Free,yes,no,yes
447,43.90804,10.21881,Paying,yes,yes,yes
448,51.26232,1.10247,Paying,yes,yes,yes
449,41.56393,9.33596,Paying,yes,no,unknown
450,40.37837,0.40647,Paying,yes,yes,yes
451,37.87431,-4.78726,Paying,yes,unknown,unknown
452,37.0983,-8.24369,Paying,yes,yes,yes
453,37.9671,-4.46118,Free,yes,no,yes
454,43.62857,5.15376,Free,yes,no,yes
455,42.46894,-7.28626,Free,yes,no,unknown
456,45.18768,0.73078,Paying,yes,no,yes
457,42.78636,0.15718,Paying,yes,yes,yes
458,42.96053,-0.07718,Free,yes,yes,unknown
459,40.2383,-3.6907,Paying,yes,yes,unknown
460,42.50571,-0.35694,Paying,yes,yes,yes
461,47.79894,-4.19818,Free,yes,yes,unknown
462,40.57582,0.39331,Paying,yes,yes,yes
463,45.37474,4.44875,Free,yes,no,yes
464,41.81022,3.05792,Paying,yes,no,unknown
465,43.5445,-5.69571,Free,yes,no,yes
466,43.50672,-1.5346,Paying,yes,no,unknown
467,48.58029,-2.14482,Free,yes,yes,yes
468,48.69406,-3.79212,Free,yes,no,yes
469,48.33771,-4.70729,Paying,yes,yes,yes
470,42.56932,-7.39408,Free,yes,no,yes
471,43.25484,-5.56842,Free,yes,yes,yes
472,43.62839,-0.82864,Free,yes,no,yes
473,42.54372,-6.5869,Free,yes,no,yes
474,48.90235,6.06122,Paying,yes,yes,yes
475,42.42291,-8.65615,Free,yes,no,yes
476,47.12075,-2.09178,Free,yes,no,yes
477,45.94716,-1.09008,Paying,yes,no,yes
478,42.51776,3.11373,Paying,yes,yes,yes
479,44.05962,9.84879,Paying,yes,no,unknown
480,43.15212,-4.91753,Paying,yes,yes,yes
481,40.22981,-7.22189,Free,yes,no,yes
482,39.32651,-3.48327,Free,yes,no,yes
483,39.34073,-7.27758,Free,yes,no,yes
484,43.5687,2.01246,Free,yes,no,yes
485,41.93956,2.83923,Free,yes,no,yes
486,37.07342,-8.07721,Paying,yes,no,yes
487,51.79103,11.13946,Paying,yes,yes,yes
488,42.89456,11.77516,Free,yes,no,yes
489,55.70675,9.26554,Free,yes,yes,yes
490,43.15689,-0.39716,Free,yes,yes,yes
491,39.98514,4.09242,Paying,yes,yes,yes
492,42.41864,2.91386,Free,yes,yes,yes
