WKT,nombre,descripción,,,,,,
POINT (6.5165 43.84601 0.0),Area AC Castellane  Gratuito: no (5eur/24 h.) Agua: si, Wc: no,,,,,,
POINT (-5.42141 36.28332 0.0),Area AC Castellar de la Frontera  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (1.34027 42.99998 0.0),Area Ac Castelnau-Durban  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (1.35239 44.27445 0.0),Area Ac Castelnau-Montratier  Gratuito, Agua: si (2 eur.), Wc: no, Grises: si, Negras: si, Elect: no,,
POINT (-8.27381 41.03967 0.0),Area AC Castelo de Paiva  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (7.48541 45.73949 0.0),Area AC Castillo de Fenis  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-2.38315 39.66098 0.0),Area AC Castillo de GarcimuÃ±oz  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-7.41793 42.37476 0.0),Area Ac Castro Caldelas  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-7.44465 37.22004 0.0),Area Ac Castro Marim  Gratuito, Agua: si, Wc: no,,,,,
POINT (1.52606 41.72947 0.0),Area Ac Catalana de Calaf   (10eur/noche,Agua:si(3eur),Wc:no,Vaciado:si(3eur),Elec:si),,,
POINT (3.64633 50.07606 0.0),Area Ac Catillon-sur-Sambre  (Gratuito,Agua:si:Wc:no,Vaciado:si,Elect:si),,,,
POINT (7.01866 47.6332 0.0),Area AC Cavannes sur Letang  (8eur/noche,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (10.07243 52.62772 0.0),Area Ac Celle  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-1.59108 48.11816 0.0),Area Ac Cesson-Sevigne  (Gratuito,Agua:si(2eur),Wc:no,Vaciado:si,Elec:si),,,
POINT (-1.26612 38.08146 0.0),Area Ac Ceuti  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (-1.26556 47.33826 0.0),Area Ac Champtoceaux  (Precio:3eur/noche,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (0.45165 45.82484 0.0),Area Ac Chasseneuil sur Bonnieure  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:si),,,
POINT (-1.37806 47.70314 0.0),Area Ac Chateaubriant  Gratuito, Agua, si, Wc:no,,,,
POINT (-0.05668 45.59879 0.0),Area Ac Chateneuf sur Charente   (Tarifa:5eur/noche,Agua:si(2eur),Wc:no,Vaciado:si,Elect:?),,,
POINT (10.56248 44.00462 0.0),Area AC Chifenti (Bagni di Lucca)  (Gratuito,Agua:si,vaciado:si,WC:no, electric,si),,
POINT (7.43442 49.05415 0.0),Area Ac Citadelle Bitche  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:si),,,
POINT (12.55779 55.65903 0.0),Area AC Citycamp (Copenhage)  (30 euros 2 pax+furgo,Agua:si,vaciado:si,WC:si, electric,si, duchas:si , wifi: si)
POINT (2.20726 41.42423 0.0),Area Ac Citystopbcn  (30eur/noche,Agua:si,WC:si,Elect:4eur,Duchas),,,
POINT (-0.48117 48.91888 0.0),Area ac Clecy  Gratuito, Agua: si (jeton 2eur),Wc: si, Vaciado: si, Elec: no,,,
POINT (7.35834 45.60844 0.0),Area AC Cogne  (10 euros,Agua:si,vaciado:si,electric:si,WC:no),,,
POINT (-8.42958 40.19993 0.0),Area ac Coimbra  (Gratuito,Agua:si,Wc: no,Vaciado:si,Elect:?),,,
POINT (-4.55387 43.3804 0.0),Area Ac Colombres  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no,area privada),,
POINT (2.02558 41.36527 0.0),Area Ac Colonia Guell  (Gratuito,Agua:si,Wc:si),,,,,
POINT (-5.26054 43.48468 0.0),Area Ac Colunga   (4 eur/noche,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (6.50646 43.70624 0.0),Area Ac Comps-sur Artuby  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:si),,,
POINT (-3.92052 47.87897 0.0),Area Ac Concarneu  (Gratuito:no(3eur/noche),Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (5.59955 46.65264 0.0),Area Ac Conliege  Gratuito:Si Agua:SI. WC:SI,,,,,,,
POINT (-8.34332 39.47701 0.0),Area ac Constancia  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:no),,,
POINT (-1.31921 44.09353 0.0),Area ac Contis Plage  (Tarifa:11eur/24h,Agua:si,Wc:si,Vaciado:si,Elect:si),,,
POINT (1.95788 44.06432 0.0),Area ac Cordes sur Ciel  (6 euros,Agua:si,vaciado:si,WC:no, electric,si),,
POINT (-4.39832 43.23353 0.0),Area Ac Cosio (Valle de Nansa)  (Area privada,gratuito,agua,wc,vaciado),,,
POINT (0.1783 46.29857 0.0),Area ac CouhÃ©  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:no),,,
POINT (-0.34809 44.77655 0.0),Area Ac Creon  (Gratuito,Agua:si(2eur),Wc:no,Vaciado:si,Elec:si),,,
POINT (1.60571 46.45903 0.0),Area Ac Cuzion   (Gratuito,Agua:si:Wc:no,Vaciado:si,Elect:no),,,,
POINT (-0.0226 47.24089 0.0),Area Ac Dampierre sur Loire  (7 euros,Agua:si (2eur),Wc:si,Vaciado:si,Elec:no, Ducha:si 2 eur.),,
POINT (-1.50419 43.28942 0.0),Area AC Dantzarinea  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
